,AST_home,BLK_home,DREB_home,FG3A_home,FG3M_home,FGA_home,FGM_home,FTA_home,FTM_home,OREB_home,PF_home,STL_home,TO_home,AST_away,BLK_away,DREB_away,FG3A_away,FG3M_away,FGA_away,FGM_away,FTA_away,FTM_away,OREB_away,PF_away,STL_away,TO_away
293,23.73170731707317,5.414634146341464,33.36585365853659,29.0,9.512195121951219,85.3170731707317,38.41463414634146,23.78048780487805,18.26829268292683,9.560975609756097,21.48780487804878,8.463414634146341,12.634146341463415,26.902439024390244,5.512195121951219,36.65853658536585,29.75609756097561,10.439024390243903,92.04878048780488,43.75609756097561,23.585365853658537,17.804878048780488,11.121951219512194,21.48780487804878,6.853658536585366,14.341463414634147
962,23.390243902439025,4.121951219512195,34.292682926829265,33.36585365853659,11.585365853658537,88.46341463414635,39.707317073170735,23.878048780487806,17.658536585365855,11.951219512195122,21.4390243902439,6.634146341463414,13.048780487804878,25.853658536585368,4.146341463414634,32.09756097560975,34.65853658536585,11.536585365853659,90.3170731707317,41.146341463414636,22.975609756097562,17.804878048780488,9.317073170731707,20.951219512195124,8.512195121951219,13.804878048780488
85,24.121951219512194,3.902439024390244,36.707317073170735,35.951219512195124,12.75609756097561,90.0,41.073170731707314,25.24390243902439,18.926829268292682,11.097560975609756,22.0,6.512195121951219,14.634146341463415,26.048780487804876,6.048780487804878,39.8780487804878,37.63414634146341,12.975609756097562,91.29268292682927,42.73170731707317,23.26829268292683,17.951219512195124,9.439024390243903,20.073170731707318,7.390243902439025,13.073170731707316
101,23.195121951219512,4.804878048780488,32.926829268292686,37.78048780487805,13.317073170731707,88.14634146341463,39.24390243902439,21.878048780487806,17.0,10.707317073170731,20.853658536585368,8.121951219512194,13.268292682926829,22.48780487804878,4.487804878048781,32.46341463414634,37.53658536585366,12.487804878048781,85.8048780487805,38.75609756097561,24.73170731707317,17.51219512195122,10.268292682926829,20.21951219512195,7.536585365853658,16.585365853658537
956,28.21951219512195,4.219512195121951,35.5609756097561,30.902439024390244,11.048780487804878,89.1219512195122,43.24390243902439,21.634146341463413,16.585365853658537,11.609756097560975,20.195121951219512,7.7560975609756095,12.536585365853659,25.853658536585368,4.146341463414634,32.09756097560975,34.65853658536585,11.536585365853659,90.3170731707317,41.146341463414636,22.975609756097562,17.804878048780488,9.317073170731707,20.951219512195124,8.512195121951219,13.804878048780488
813,30.11111111111111,5.111111111111111,37.97222222222222,37.94444444444444,14.333333333333334,98.05555555555556,47.416666666666664,24.083333333333332,18.63888888888889,11.583333333333334,22.27777777777778,8.722222222222221,13.61111111111111,25.97222222222222,5.277777777777778,34.861111111111114,43.22222222222222,15.222222222222221,93.02777777777777,42.02777777777778,22.22222222222222,16.444444444444443,9.527777777777779,21.25,7.75,15.527777777777779
256,25.61111111111111,5.333333333333333,41.5,46.27777777777778,17.97222222222222,94.13888888888889,44.138888888888886,24.27777777777778,19.72222222222222,11.916666666666666,20.194444444444443,6.777777777777778,14.86111111111111,27.25,5.138888888888889,39.05555555555556,40.27777777777778,14.666666666666666,101.33333333333333,46.361111111111114,27.416666666666668,22.444444444444443,12.38888888888889,23.13888888888889,8.166666666666666,14.666666666666666
594,23.195121951219512,4.804878048780488,32.926829268292686,37.78048780487805,13.317073170731707,88.14634146341463,39.24390243902439,21.878048780487806,17.0,10.707317073170731,20.853658536585368,8.121951219512194,13.268292682926829,23.634146341463413,4.341463414634147,33.5609756097561,33.75609756097561,11.195121951219512,89.97560975609755,40.951219512195124,22.75609756097561,17.195121951219512,10.146341463414634,18.658536585365855,7.048780487804878,13.317073170731707
1180,21.634146341463413,4.902439024390244,32.51219512195122,46.4390243902439,16.804878048780488,87.53658536585365,39.51219512195122,26.48780487804878,20.951219512195124,10.170731707317072,21.48780487804878,8.609756097560975,12.560975609756097,23.073170731707318,4.073170731707317,35.41463414634146,36.707317073170735,12.439024390243903,87.70731707317073,38.707317073170735,23.658536585365855,17.5609756097561,9.414634146341463,20.365853658536587,6.073170731707317,13.365853658536585
946,28.26829268292683,5.560975609756097,34.951219512195124,38.707317073170735,13.560975609756097,91.3170731707317,42.390243902439025,20.926829268292682,15.121951219512194,11.390243902439025,20.048780487804876,7.926829268292683,13.341463414634147,23.75609756097561,4.414634146341464,35.51219512195122,37.26829268292683,12.707317073170731,88.41463414634147,38.170731707317074,19.390243902439025,15.195121951219512,9.365853658536585,19.73170731707317,6.609756097560975,13.975609756097562
671,29.13888888888889,4.722222222222222,35.30555555555556,38.638888888888886,14.805555555555555,88.47222222222223,42.80555555555556,22.055555555555557,17.444444444444443,8.333333333333334,21.0,7.916666666666667,14.666666666666666,25.916666666666668,4.972222222222222,34.19444444444444,35.583333333333336,12.333333333333334,94.47222222222223,44.0,23.833333333333332,17.444444444444443,11.11111111111111,21.166666666666668,8.055555555555555,13.527777777777779
28,29.583333333333332,5.416666666666667,38.166666666666664,40.5,14.88888888888889,97.58333333333333,43.77777777777778,21.97222222222222,16.13888888888889,11.944444444444445,20.5,8.38888888888889,15.444444444444445,24.333333333333332,6.333333333333333,37.861111111111114,39.27777777777778,14.166666666666666,99.19444444444444,45.72222222222222,22.52777777777778,16.944444444444443,11.194444444444445,21.61111111111111,8.277777777777779,14.527777777777779
453,25.11111111111111,4.777777777777778,36.611111111111114,32.888888888888886,12.61111111111111,87.36111111111111,41.52777777777778,25.25,20.555555555555557,10.38888888888889,19.083333333333332,6.777777777777778,12.777777777777779,26.52777777777778,4.444444444444445,36.47222222222222,29.305555555555557,10.694444444444445,93.05555555555556,43.333333333333336,26.333333333333332,20.36111111111111,9.944444444444445,22.166666666666668,7.666666666666667,14.88888888888889
251,22.170731707317074,5.2682926829268295,33.58536585365854,30.317073170731707,10.902439024390244,85.6829268292683,39.4390243902439,19.536585365853657,14.853658536585366,9.804878048780488,19.5609756097561,7.536585365853658,13.390243902439025,21.829268292682926,3.902439024390244,32.0,23.390243902439025,8.512195121951219,86.65853658536585,40.4390243902439,18.390243902439025,14.804878048780488,9.317073170731707,19.121951219512194,9.024390243902438,12.658536585365853
